scenario,query_idx,query_name,value,ci_low,ci_high,margin,runs,kind
F,6,Defect rate,1.78,1.4970240000000001,2.062976,0.282976,50,estimate
F,7,Stockout duration,42.24,36.680220000000006,47.79978,5.55978,50,estimate
F,8,Activation: emergency raw replenishment,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F,9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F,10,Activation: demand surge capacity,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F,11,Activation: backup finished-goods truck,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F,12,Minimum availability,95.0,94.340335,95.659665,0.659665,50,estimate
F,13,Demand shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F,14,Raw shortage occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F,15,Quality shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F,16,Transport delay window count,3.02,2.9798085,3.0601915,0.0401915,50,estimate
F,17,Transport delayed trip count,34.76,29.687959999999997,39.83204,5.07204,50,estimate
R + E,1,Service ratio >=95%,0.7552870090634441,0.705295,0.800645,0.04767500000000002,331,probability
R + E,2,Avg customer lead time,9.54,9.365753,9.714246999999999,0.174247,50,estimate
R + E,3,Safe stock recovery time,8.66,8.209327,9.110673,0.450673,50,estimate
R + E,4,Latent production blocked time,17.52,15.94629,19.093709999999998,1.57371,50,estimate
R + E,5,Active production blocked time,16.96,15.44312,18.47688,1.51688,50,estimate
R + E,6,Defect rate,1.62,1.377148,1.8628520000000002,0.242852,50,estimate
R + E,7,Stockout duration,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R + E,8,Activation: emergency raw replenishment,22.76,22.533514,22.986486000000003,0.226486,50,estimate
R + E,9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R + E,10,Activation: demand surge capacity,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R + E,11,Activation: backup finished-goods truck,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R + E,12,Minimum availability,100.0,100.0,100.0,0.0,50,estimate_zero_variance
R + E,13,Demand shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R + E,14,Raw shortage occurrence count,2.0,2.0,2.0,0.0,50,estimate_zero_variance
R + E,15,Quality shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R + E,16,Transport delay window count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
R + E,17,Transport delayed trip count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F + B,1,Service ratio >=95%,0.7654320987654321,0.715437,0.810501,0.04753200000000002,324,probability
F + B,2,Avg customer lead time,10.02,9.979808499999999,10.0601915,0.0401915,50,estimate
F + B,3,Safe stock recovery time,142.58,126.97440000000002,158.18560000000002,15.6056,50,estimate
F + B,4,Latent production blocked time,604.7,592.3441,617.0559000000001,12.3559,50,estimate
F + B,5,Active production blocked time,606.06,593.9976999999999,618.1223,12.0623,50,estimate
F + B,6,Defect rate,1.72,1.4384839999999999,2.001516,0.281516,50,estimate
F + B,7,Stockout duration,39.6,34.18274,45.01726,5.41726,50,estimate
F + B,8,Activation: emergency raw replenishment,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F + B,9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F + B,10,Activation: demand surge capacity,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F + B,11,Activation: backup finished-goods truck,2.6,2.427751,2.772249,0.172249,50,estimate
F + B,12,Minimum availability,94.86,94.113564,95.606436,0.746436,50,estimate
F + B,13,Demand shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F + B,14,Raw shortage occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F + B,15,Quality shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
F + B,16,Transport delay window count,3.0,3.0,3.0,0.0,50,estimate_zero_variance
F + B,17,Transport delayed trip count,43.16,34.763569999999994,51.55643,8.39643,50,estimate
"D + E,S",1,Service ratio >=95%,0.7760252365930599,0.726082,0.820728,0.047323000000000004,317,probability
"D + E,S",2,Avg customer lead time,8.56,8.283684000000001,8.836316,0.276316,50,estimate
"D + E,S",3,Safe stock recovery time,12.22,7.300820000000001,17.13918,4.91918,50,estimate
"D + E,S",4,Latent production blocked time,52.32,34.7686,69.8714,17.5514,50,estimate
"D + E,S",5,Active production blocked time,37.52,27.571160000000003,47.46884,9.94884,50,estimate
"D + E,S",6,Defect rate,1.86,1.590632,2.129368,0.269368,50,estimate
"D + E,S",7,Stockout duration,0.76,-0.76728,2.28728,1.52728,50,estimate
"D + E,S",8,Activation: emergency raw replenishment,24.74,23.940672999999997,25.539327,0.799327,50,estimate
"D + E,S",9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"D + E,S",10,Activation: demand surge capacity,125.14,87.0247,163.2553,38.1153,50,estimate
"D + E,S",11,Activation: backup finished-goods truck,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"D + E,S",12,Minimum availability,99.82,99.496781,100.14321899999999,0.323219,50,estimate
"D + E,S",13,Demand shock occurrence count,1.12,1.0267093,1.2132907000000002,0.0932907,50,estimate
"D + E,S",14,Raw shortage occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"D + E,S",15,Quality shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"D + E,S",16,Transport delay window count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"D + E,S",17,Transport delayed trip count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,Q + E",1,Service ratio >=95%,0.7701863354037267,0.720306,0.815019,0.047356500000000024,322,probability
"R,Q + E",2,Avg customer lead time,9.68,9.534293,9.825707,0.145707,50,estimate
"R,Q + E",3,Safe stock recovery time,8.88,8.440324,9.319676000000001,0.439676,50,estimate
"R,Q + E",4,Latent production blocked time,18.16,16.38532,19.93468,1.77468,50,estimate
"R,Q + E",5,Active production blocked time,17.78,16.106740000000002,19.45326,1.67326,50,estimate
"R,Q + E",6,Defect rate,1.64,1.434902,1.845098,0.205098,50,estimate
"R,Q + E",7,Stockout duration,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,Q + E",8,Activation: emergency raw replenishment,23.0,22.756403,23.243597,0.243597,50,estimate
"R,Q + E",9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,Q + E",10,Activation: demand surge capacity,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,Q + E",11,Activation: backup finished-goods truck,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,Q + E",12,Minimum availability,100.0,100.0,100.0,0.0,50,estimate_zero_variance
"R,Q + E",13,Demand shock occurrence count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,Q + E",14,Raw shortage occurrence count,2.0,2.0,2.0,0.0,50,estimate_zero_variance
"R,Q + E",15,Quality shock occurrence count,1.0,1.0,1.0,0.0,50,estimate_zero_variance
"R,Q + E",16,Transport delay window count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,Q + E",17,Transport delayed trip count,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,D,Q,F",1,Service ratio >=95%,0.7477744807121661,0.697866,0.793269,0.04770150000000001,337,probability
"R,D,Q,F",2,Avg customer lead time,11.06,10.953974,11.166026,0.106026,50,estimate
"R,D,Q,F",3,Safe stock recovery time,216.58,194.2487,238.9113,22.3313,50,estimate
"R,D,Q,F",4,Latent production blocked time,599.86,587.6172,612.1028,12.2428,50,estimate
"R,D,Q,F",5,Active production blocked time,606.12,595.3597,616.8803,10.7603,50,estimate
"R,D,Q,F",6,Defect rate,1.84,1.556616,2.123384,0.283384,50,estimate
"R,D,Q,F",7,Stockout duration,71.54,65.82073000000001,77.25927,5.71927,50,estimate
"R,D,Q,F",8,Activation: emergency raw replenishment,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,D,Q,F",9,Activation: adaptive raw safety stock,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,D,Q,F",10,Activation: demand surge capacity,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,D,Q,F",11,Activation: backup finished-goods truck,0.0,0.0,0.0,0.0,50,estimate_zero_variance
"R,D,Q,F",12,Minimum availability,91.78,90.89928,92.66072,0.88072,50,estimate
"R,D,Q,F",13,Demand shock occurrence count,1.08,1.0021166000000001,1.1578834,0.0778834,50,estimate
"R,D,Q,F",14,Raw shortage occurrence count,2.0,2.0,2.0,0.0,50,estimate_zero_variance
